id,name,ride,goff,lat,lon,demand,cityhall,samsan,taehwagang,ulsanuniv,hhi,uuh,ktx,eonyang,min_to_any,mean_to_centers,n_within
E0872,제일물산입구,11,5,35.42818209,129.3375085,16,81.0,93.0,100.0,101.0,,,,,81.0,93.75,0
E0873,산성마을,10,3,35.42841214,129.3288088,13,78.0,91.0,97.0,97.0,,,,,78.0,90.75,0
E0874,LG온산공장,6,3,35.42817934,129.3332721,9,82.0,93.0,100.0,101.0,,,,,82.0,94.0,0
E0875,용안사,0,1,35.41032081,129.3112149,1,96.0,105.0,112.0,115.0,,,,,96.0,107.0,0
E0876,삼평초등학교,11,2,35.40564592,129.3224924,13,100.0,109.0,115.0,117.0,,,,,100.0,110.25,0
E0877,영묘사,4,0,35.40041768,129.3267136,4,105.0,114.0,,,,,,,105.0,109.5,0
E0878,삼평마을,1,0,35.40563882,129.3234757,1,101.0,112.0,119.0,,,,,,101.0,110.66666666666667,0
E0879,내회마을,1,0,35.40601119,129.3205526,1,103.0,114.0,,,,,,,103.0,108.5,0
E0880,상회회관,1,0,35.40725433,129.3152495,1,102.0,113.0,118.0,119.0,,,,,102.0,113.0,0
E0881,상회입구,1,0,35.40747089,129.3124937,1,99.0,109.0,115.0,117.0,,,,,99.0,110.0,0
E0882,강양,9,2,35.39174588,129.3450879,11,111.0,,,,,,,,111.0,111.0,0
E0883,웃강양,15,0,35.3938886,129.3395368,15,107.0,118.0,,,,,,,107.0,112.5,0
E0884,하회마을,7,0,35.39856684,129.3324226,7,104.0,115.0,,,,,,,104.0,109.5,0
E0885,온산수질개선사업소,2,0,35.41110117,129.3512403,2,78.0,88.0,95.0,100.0,,,,,78.0,90.25,0
E0886,신한중공업,3,1,35.40594015,129.3488841,4,82.0,93.0,100.0,104.0,,,,,82.0,94.75,0
E0887,온산수질개선사업소정문,3,1,35.41110117,129.3512403,4,74.0,85.0,92.0,96.0,,,,,74.0,86.75,0
E0888,처용삼거리,1,1,35.46707826,129.3333768,2,48.0,59.0,66.0,70.0,99.0,107.0,113.0,119.0,48.0,85.125,0
E0889,볼보트럭울산사업소,9,6,35.46660106,129.3380434,15,56.0,67.0,74.0,75.0,106.0,113.0,,,56.0,81.83333333333333,0
E0890,지후,28,5,35.46335212,129.339739,33,53.0,65.0,72.0,74.0,104.0,114.0,118.0,,53.0,85.71428571428571,0
