stop_name,lat,lon,boardings,alightings
옥현주공3단지,35.539704,129.259207,97,7
옥현중학교,35.540992,129.262677,115,14
옥현주공2단지,35.542519,129.261635,110,10
옥현주공1단지,35.54497,129.261633,111,109
쇠정사거리,35.546277,129.262183,124,46
해연공원앞,35.550272,129.262527,321,56
무거동행정복지센터앞,35.550862,129.26033,48,27
신세대아파트,35.552324,129.259064,127,24
한라2차아파트,35.553289,129.257576,105,25
아성아파트,35.550617,129.254563,40,7
신복초등학교,35.549564,129.254916,109,11
무거현대,35.547868,129.254696,56,5
롯데캐슬,35.548319,129.254373,461,95
문수펠리스후문,35.549674,129.255965,21,4
서울산새마을금고,35.549392,129.257873,29,6
무거시장,35.548447,129.25935,28,11
협성현대럭키아파트,35.54079,129.253071,21,2
코아아파트,35.541498,129.25444,12,0
과학대후문,35.49787,129.41777,3,0
울산과학대,35.540629,129.25714,5,8
문수고등학교,35.555366,129.265934,1,7
공원묘지입구,35.537109,129.279146,57,28
옥동중학교,35.535923,129.286039,285,83
법원,35.538563,129.286156,2698,539
옥동초등학교,35.534037,129.295865,1857,417
보건환경연구원,35.538592,129.270913,2,11
울산대공원남문,35.526115,129.285825,15,5
중간갈티마을입구,35.520328,129.295357,5,4
시립문수궁도장입구,35.518209,129.300496,18,9
갈현마을회관,35.523529,129.289029,11,7
갈티마을입구,35.527301,129.273151,6,4
법조타운삼거리,35.537537,129.283558,9,0
구법원,35.537477,129.287866,13,0
천호탕,35.536962,129.289301,290,49
서강파크,35.538269,129.28871,78,5
옥동현대아파트,35.539841,129.290234,157,18
신정중학교,35.541098,129.292549,157,10
대륙2차현대아파트,35.541297,129.294488,61,4
도성아파트,35.537743,129.297065,12,0
남산초등학교,35.535904,129.296075,24,8
옥동공영주차장앞,35.533387,129.294004,13,1
울산대공원정문로터리,35.531824,129.293379,47,0
영남빌라,35.531483,129.295731,10,2
롯데인벤스가,35.53089,129.297156,14,0
효성아파트,35.529824,129.297742,16,0
롯데인베스가,35.530858,129.297318,3,0
대공원,35.531866,129.293707,13,3
옥동중학교앞,35.535923,129.286039,17,1
서광아파트입구,35.514056,129.309633,393,114
상개동크로바아파트,35.507494,129.308804,315,54
두왕사거리,35.505752,129.308936,178,40
