stop_id,stop_name,lat,lon,boardings,alightings,demand,min_cityhall,min_samsan,min_taehwagang,min_ulsanuniv,min_hhi,min_uuh,min_ktx,min_eonyang,min_to_any_hub,mean_to_hubs,hubs_within_45min
E0096,당수나무,35.57650157,129.2913469,1,0,1,51.0,63.0,68.0,53.0,94.0,103.0,92.0,104.0,51.0,78.5,0
E0097,귀신고래바위,35.57690312,129.292204,2,0,2,49.0,59.0,64.0,51.0,93.0,101.0,89.0,104.0,49.0,76.25,0
E0098,길촌마을입구,35.57627109,129.2944617,1,0,1,46.0,58.0,65.0,49.0,89.0,98.0,85.0,96.0,46.0,73.25,0
E0099,점주가든,35.57192393,129.3007836,1,1,2,35.0,45.0,52.0,36.0,78.0,86.0,74.0,85.0,35.0,61.375,3
E0100,동원로얄듀크정문,35.56028323,129.2944136,106,1,107,30.0,43.0,49.0,28.0,76.0,84.0,69.0,81.0,28.0,57.5,3
E0101,유곡중학교,35.55869733,129.3011183,247,22,269,25.0,38.0,44.0,29.0,72.0,82.0,72.0,80.0,25.0,55.25,4
E0102,유곡교,35.56025864,129.2996207,0,3,3,28.0,42.0,48.0,28.0,74.0,83.0,67.0,79.0,28.0,56.125,3
E0103,동원로얄정문,35.56028323,129.2944136,0,8,8,31.0,44.0,49.0,28.0,75.0,84.0,70.0,81.0,28.0,57.75,3
E0104,유곡푸르지오,35.55939392,129.3053795,50,5,55,29.0,41.0,48.0,37.0,77.0,86.0,76.0,86.0,29.0,60.0,3
E0105,삼호교,35.55532503,129.2778451,1380,670,2050,25.0,38.0,45.0,11.0,74.0,83.0,53.0,62.0,11.0,48.875,4
E0106,제일중학교,35.55356597,129.2844245,1002,236,1238,21.0,33.0,40.0,16.0,71.0,81.0,60.0,69.0,16.0,48.875,4
E0107,학성여중,35.55341041,129.2911625,922,186,1108,21.0,33.0,40.0,16.0,70.0,79.0,59.0,68.0,16.0,48.25,4
E0108,태화동,35.55224472,129.2954346,1853,572,2425,18.0,29.0,36.0,19.0,67.0,77.0,61.0,71.0,18.0,47.25,4
E0109,태화강국가정원.동강병원,35.55253514,129.3007721,1560,479,2039,15.0,27.0,34.0,20.0,64.0,74.0,61.0,68.0,15.0,45.375,4
E0110,태화루,35.55393657,129.3071811,1947,781,2728,12.0,24.0,31.0,22.0,62.0,73.0,65.0,75.0,12.0,45.5,4
E0111,테크노파크입구,35.5612609,129.2775416,32,6,38,37.0,49.0,56.0,24.0,82.0,91.0,64.0,76.0,24.0,59.875,2
E0112,중앙고입구,35.55741677,129.2838915,47,5,52,32.0,45.0,51.0,22.0,79.0,89.0,68.0,76.0,22.0,57.75,3
E0113,중앙고등학교,35.55503888,129.2860935,27,4,31,26.0,37.0,44.0,18.0,74.0,83.0,62.0,71.0,18.0,51.875,4
E0114,희마아파트,35.553545,129.2933593,11,4,15,23.0,35.0,41.0,20.0,70.0,79.0,63.0,73.0,20.0,50.5,4
E0115,다운동행정복지센터앞,35.55695855,129.2743589,274,99,373,25.0,39.0,46.0,16.0,76.0,86.0,58.0,67.0,16.0,51.625,3
E0116,다운농협,35.5589774,129.2717,432,97,529,30.0,43.0,49.0,20.0,80.0,89.0,61.0,71.0,20.0,55.375,3
E0117,다운아파트,35.56280781,129.2671614,598,114,712,32.0,45.0,52.0,23.0,82.0,91.0,64.0,74.0,23.0,57.875,3
E0118,다운중고등학교,35.56572381,129.2661465,158,20,178,32.0,46.0,53.0,22.0,81.0,92.0,62.0,74.0,22.0,57.75,2
E0119,다운동아아파트,35.56934851,129.2663165,440,96,536,37.0,50.0,56.0,26.0,84.0,93.0,59.0,72.0,26.0,59.625,2
E0120,말미,35.57595742,129.2658756,3,3,6,37.0,49.0,56.0,29.0,86.0,96.0,66.0,77.0,29.0,62.0,2
E0121,다운교,35.57921805,129.2652984,13,6,19,39.0,53.0,59.0,30.0,89.0,98.0,67.0,80.0,30.0,64.375,2
E0122,다운파출소,35.5605313,129.2699574,128,5,133,30.0,42.0,49.0,18.0,79.0,89.0,64.0,75.0,18.0,55.75,3
E0123,다운중학교,35.56835926,129.2689715,105,15,120,36.0,49.0,56.0,24.0,84.0,93.0,59.0,75.0,24.0,59.5,2
E0124,테크노파크,35.5612609,129.2775416,1,2,3,36.0,48.0,54.0,23.0,81.0,90.0,65.0,74.0,23.0,58.875,2
E0125,현대골든아파트,35.57262531,129.3501983,186,40,226,33.0,32.0,35.0,48.0,64.0,74.0,88.0,100.0,32.0,59.25,3
E0126,산전마을,35.57442735,129.3505253,71,16,87,32.0,31.0,36.0,48.0,63.0,73.0,87.0,100.0,31.0,58.75,3
E0127,산전교,35.57770245,129.3499393,90,25,115,36.0,34.0,36.0,51.0,64.0,74.0,88.0,100.0,34.0,60.375,3
E0128,한국폴리텍대학,35.57976941,129.3488668,264,45,309,35.0,35.0,36.0,50.0,64.0,74.0,87.0,100.0,35.0,60.125,3
E0129,서동시장,35.58083876,129.3470304,375,83,458,35.0,35.0,37.0,49.0,65.0,75.0,84.0,99.0,35.0,59.875,3
E0130,병영초등학교입구,35.57421946,129.3460183,15,6,21,36.0,35.0,39.0,52.0,68.0,77.0,88.0,101.0,35.0,62.0,3
E0131,제니유치원,35.57263399,129.3461282,10,4,14,34.0,33.0,38.0,49.0,66.0,75.0,87.0,100.0,33.0,60.25,3
E0132,병영2동행정복지센터,35.57923749,129.3465237,44,2,46,38.0,37.0,39.0,52.0,66.0,77.0,87.0,101.0,37.0,62.125,3
E0133,서동현대아파트,35.58301984,129.3469678,44,4,48,39.0,38.0,38.0,53.0,68.0,77.0,90.0,103.0,38.0,63.25,3
E0134,삼일초등학교,35.58050603,129.3446622,454,97,551,38.0,39.0,36.0,53.0,64.0,74.0,87.0,101.0,36.0,61.5,3
E0135,KCC스위첸,35.58119489,129.3399541,176,46,222,35.0,41.0,44.0,46.0,71.0,80.0,85.0,99.0,35.0,62.625,3
E0136,외솔중학교,35.58473179,129.3432757,228,34,262,38.0,43.0,43.0,50.0,70.0,80.0,90.0,101.0,38.0,64.375,3
E0137,삼익세라믹앞,35.51554335,129.3169482,80,5,85,26.0,33.0,43.0,45.0,75.0,84.0,91.0,97.0,26.0,61.75,4
E0138,삼익세라믹,35.51554335,129.3169482,184,52,236,25.0,35.0,43.0,45.0,74.0,83.0,90.0,98.0,25.0,61.625,4
E0139,약사골사거리,35.57978966,129.3378774,27,4,31,38.0,41.0,46.0,50.0,73.0,82.0,89.0,101.0,38.0,65.0,2
E0140,약사제방전시관,35.57730691,129.339255,32,9,41,33.0,40.0,44.0,45.0,71.0,81.0,84.0,95.0,33.0,61.625,4
E0141,에일린의뜰2차,35.58448152,129.3450012,23,4,27,41.0,44.0,43.0,53.0,72.0,82.0,91.0,104.0,41.0,66.25,3
E0142,병영성,35.57680175,129.3462861,13,7,20,40.0,39.0,41.0,54.0,70.0,80.0,90.0,103.0,39.0,64.625,3
E0143,한라하얏트,35.58159635,129.3440298,1,2,3,37.0,39.0,41.0,52.0,69.0,78.0,85.0,98.0,37.0,62.375,3
E0144,두강팔레스,35.58269526,129.3446045,4,2,6,39.0,41.0,41.0,55.0,69.0,79.0,86.0,99.0,39.0,63.625,3
E0145,학성초등학교,35.55963307,129.3444963,1397,483,1880,27.0,25.0,22.0,42.0,47.0,57.0,80.0,92.0,22.0,49.0,4
