idx,corridor,wbefore,wafter,saved_min,n_improved,demand_min_saved,top,secs
92,효문사거리 → 학성공원 → 옥교동 → 시청,41.8,40.14,1.66,690,546621.0,효문사거리(+21); 시민의발서비스(+15); 옥교동(+14),158.9
71,롯데캐슬 → 좋은삼정병원 → 정광사 → 시청,41.8,40.21,1.59,691,546068.0,롯데캐슬(+30); 무거현대(+26); 아성아파트(+23),153.9
32,골드클래스 → 홈플러스중구점 → 시청,41.8,40.31,1.48,641,513344.0,골드클래스(+22); 성혜마을(+19); 동산(+17),164.6
84,신복현대아파트 → 남운프라자 → 학성여중 → 시청,41.81,40.33,1.48,685,510543.0,신복현대아파트(+27); 아성아파트(+25); 무거초등학교(+25),158.1
15,매곡푸르지오아파트 → 신천 → 시청,41.81,40.36,1.45,505,515122.0,매곡푸르지오아파트(+39); 매곡현대아파트(+38); 신기회관(+37),165.4
7,다운동아아파트 → 다운농협 → 제일중학교 → 태화동 → 시청,41.81,40.4,1.41,702,497361.0,다운동아아파트(+22); 다운농협(+19); 반용종점(+17),164.2
97,쌍용아진그린타운3차 → 향교 → 시청,41.81,40.43,1.38,588,473476.0,쌍용아진그린타운3차(+38); 쌍용아진그린타운4차(+37); 상안마을(+35),160.7
24,매곡현대아파트 → 중구청 → 시청,41.81,40.46,1.35,608,471440.0,매곡현대아파트(+41); 신기회관(+38); 매곡푸르지오아파트(+36),158.9
30,월드메르디앙1단지 → 중구청 → 옥교동 → 우정선경아파트 → 시청,41.8,40.46,1.34,660,469994.0,월드메르디앙1단지(+37); 마동(+33); 매곡현대아파트(+33),159.0
42,효문사거리 → 신울산종합시장 → 시청,41.79,40.55,1.24,662,449820.0,효문사거리(+21); 신울산종합시장(+17); 시민의발서비스(+15),165.8
23,달천아이파크2차 → 중앙전통시장 → 옥교동 → 시청,41.79,40.58,1.21,616,424367.0,달천아이파크2차(+36); 상안마을(+35); 그린카운티입구(+35),157.9
60,강동서희스타힐스 → 학성초등학교 → 옥교동 → 시청,41.81,40.6,1.2,654,411735.0,강동서희스타힐스(+52); 산하중앙사거리(+51); 푸르지오1차(+50),154.4
